,addresses
liquis,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xd82fd4d6d62f89a1e50b1db69ad19932314aa408'}}"
liquid-finance,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x93c15cd7de26f07265f0272e0b831c5d7fab174f'}}"
timeless,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xfd0205066521550d7d7ab19da8f72bb004b4c341'}}"
proton-loan,"{'': {'decimal_place': None, 'contract_address': ''}}"
lodestar,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xf19547f9ed24aa66b03c3a552d181ae334fbb8db'}}"
tokenlon,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0000000000095413afc295d19edeb1ad7b71c952'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x55678cd083fcdc2947a0df635c93c838c89454a3'}}"
liqwid-finance,"{'cardano': {'decimal_place': 6, 'contract_address': '8e420ce194ca84040ba6971e6ab816e3d76ee9ee'}}"
liquiddriver,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x816e21c33fa5f8440ebcdf6e01d39314541bea72'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x4b6b3d425f82248996d77ecc3f3df1e500aac1db'}, 'kava': {'decimal_place': 18, 'contract_address': '0x332c72dd7e77070740f01d2d35851c461585d5d0'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x0294d8eb7857d43feb1210db72456d41481f9ede'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x4b6b3d425f82248996d77ecc3f3df1e500aac1db'}}"
liquity,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xfb9e5d956d889d91a82737b9bfcdac1dce3e1449'}}"
loopring,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xbbbbca6a901c926f240b89eacb641d8aec7aeafd'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x46d0ce7de6247b0a95f67b43b589b4041bae7fbe'}, 'energi': {'decimal_place': 18, 'contract_address': '0x193da10f8a969d4c081b9097b15337b1488cbbec'}}"
lsdx-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xfac77a24e52b463ba9857d6b758ba41ae20e31ff'}}"
lumenswap,"{'stellar': {'decimal_place': None, 'contract_address': 'GAB7STHVD5BDH3EEYXPI3OM7PCS4V443PYB5FNT6CFGJVPDLMKDM24WK'}}"
lua-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xb1f66997a5760428d3a87d68b90bfe0ae64121cc'}, 'tomochain': {'decimal_place': 18, 'contract_address': '0x7262fa193e9590b2e075c3c16170f3f2f32f5c74'}}"
level,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xb64e280e9d1b5dbec4accedb2257a87b400db149'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xb64e280e9d1b5dbec4accedb2257a87b400db149'}}"
lydia-finance,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x4c9b4e1ac6f24cde3660d5e4ef1ebf77c710c084'}}"
lyra-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x01ba67aac7f75f647d94220cc98fb30fcc5105bf'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x079504b86d38119f859c4194765029f692b7b7aa'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x50c5725949a6f0c72e6c4a641f24049a917db0cb'}}"
liquid-staked-ethereum,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x8c1bed5b9a0928467c9b1341da1d7bd5e10b6549'}}"
maia,"{'metis-andromeda': {'decimal_place': 9, 'contract_address': '0x72c232d56542ba082592dee7c77b1c6cfa758bcd'}}"
makiswap,"{'huobi-token': {'decimal_place': 18, 'contract_address': '0x5fad6fbba4bba686ba9b8052cf0bd51699f38b93'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xedf5e2ac09002094cc51b597cebe58c70182adc5'}}"
mare-finance,"{'kava': {'decimal_place': 18, 'contract_address': '0xd86c8d4279ccafbec840c782bcc50d201f277419'}}"
mars,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x66c0dded8433c9ea86c8cf91237b14e10b4d70b7'}}"
matic-network,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0'}, 'sora': {'decimal_place': 18, 'contract_address': '0x009134d5c7b7fda8863985531f456f89bef5fbd76684a8acdb737b3e451d0877'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x0000000000000000000000000000000000001010'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x301259f392b551ca8c592c9f676fcd2f9a0a84c5'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xcc42724c6683b7e57334c4e856f4c9965ed682bd'}, 'moonriver': {'decimal_place': 18, 'contract_address': '0x682f81e57eaa716504090c3ecba8595fb54561d8'}, 'moonbeam': {'decimal_place': 18, 'contract_address': '0x3405a1bd46b85c5c029483fbecf2f3e611026e45'}, 'energi': {'decimal_place': 18, 'contract_address': '0x98997e1651919faeacee7b96afbb3dfd96cb6036'}}"
antimatter,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x9b99cca871be05119b2012fd4474731dd653febe'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xaaa62d9584cbe8e4d68a43ec91bff4ff1fadb202'}}"
maverick-protocol,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x7448c7456a97769f6cd04f1e83a4a23ccdc46abd'}, 'zksync': {'decimal_place': 18, 'contract_address': '0x787c09494ec8bcb24dcaf8659e7d5d69979ee508'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xd691d9a68c887bdf34da8c36f63487333acfd103'}}"
mcdex,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x4e352cf164e64adcbad318c3a1e222e9eba4ce42'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x5fe80d2cd054645b9419657d3d10d26391780a7b'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x4e352cf164e64adcbad318c3a1e222e9eba4ce42'}}"
mdex,"{'huobi-token': {'decimal_place': 18, 'contract_address': '0x25d2e80cb6b86881fd7e07dd263fb79f4abe033c'}}"
megaton-finance,"{'': {'decimal_place': None, 'contract_address': ''}}"
mercurial,"{'solana': {'decimal_place': 6, 'contract_address': 'MERt85fc5boKw3BW1eYdxonEuJNvXbiMbs6hvheau5K'}}"
meshswap-protocol,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x82362ec182db3cf7829014bc61e9be8a2e82868a'}}"
metronome,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x2ebd53d035150f328bd754d6dc66b99b0edb89aa'}}"
meta-pool,"{'aurora': {'decimal_place': 24, 'contract_address': '0xc21ff01229e982d7c8b8691163b0a3cb8f357453'}}"
mad-meerkat-etf,"{'cronos': {'decimal_place': 18, 'contract_address': '0xb8df27c687c6af9afe845a2afad2d01e199f4878'}}"
maiar-dex,"{'elrond': {'decimal_place': 18, 'contract_address': ''}}"
moonwell,"{'moonriver': {'decimal_place': 18, 'contract_address': '0xbb8d88bcd9749636bc4d2be22aac4bb3b01a58f1'}}"
mugen-finance,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xfc77b86f3ade71793e1eec1e7944db074922856e'}}"
magpie,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xd06716e1ff2e492cc5034c2e81805562dd3b45fa'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xa61f74247455a40b01b0559ff6274441fafa22a3'}}"
muesliswap-milk,"{'cardano': {'decimal_place': 0, 'contract_address': '8a1cfae21368b8bebbbed9800fec304e95cce39a2a57dc35e2e3ebaa4d494c4b'}, 'milkomeda-cardano': {'decimal_place': 18, 'contract_address': ' 0x386e685b5cbaa7bc06e3dd2eecdc56105076e4fa'}}"
milkyswap,"{'milkomeda-cardano': {'decimal_place': 18, 'contract_address': '0x063a5e4cd5e15ac66ea47134eb60e6b30a51b2bf'}}"
mimo-parallel-governance-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x90b831fa3bebf58e9744a14d638e25b4ee06f9bc'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xadac33f543267c4d59a8c299cf804c303bc3e4ac'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x1d1764f04de29da6b90ffbef372d1a45596c4855'}}"
minswap,"{'cardano': {'decimal_place': 6, 'contract_address': '29d222ce763455e3d7a09a665ce554f00ac89d2e99a1a83d267170c6'}}"
mini,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x4d953cf077c0c95ba090226e59a18fcf97db44ec'}}"
alchemist,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x88acdd2a6425c3faae4bc9650fd7e27e0bebb7ab'}}"
mojitoswap,"{'kucoin-community-chain': {'decimal_place': 18, 'contract_address': '0x2ca48b4eea5a731c2b54e7c3944dbdb87c0cfb6f'}}"
maker,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x6f7c932e7684666c9fd1d44527765433e01ff61d'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x2e9a6df78e42a30712c10a9dc4b1c8656f8f2879'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x88128fd4b259552a9a1d457f435a6527aab72d42'}, 'sora': {'decimal_place': 18, 'contract_address': '0x00ec184ef0b4bd955db05eea5a8489ae72888ab6e63682a15beca1cd39344c8f'}, 'energi': {'decimal_place': 18, 'contract_address': '0x050317d93f29d1ba5ff3eac3b8157fd4e345588d'}}"
melon,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xec67005c4e498ec7f55e092bd1d35cbc47c91892'}}"
malinka,"{'': {'decimal_place': None, 'contract_address': ''}}"
mmfinance-polygon,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x22a31bd4cb694433b6de19e0acc2899e553e9481'}}"
mmfinance,"{'cronos': {'decimal_place': 18, 'contract_address': '0x97749c9b61f878a880dfe312d2594ae07aed7656'}}"
mmfinance-arbitrum,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x56b251d4b493ee3956e3f899d36b7290902d2326'}}"
mad-meerkat-optimizer,"{'cronos': {'decimal_place': 18, 'contract_address': '0x50c0c5bda591bc7e89a342a3ed672fb59b3c46a7'}}"
mummy-finance,"{'fantom': {'decimal_place': 18, 'contract_address': '0x01e77288b38b416f972428d562454fb329350bac'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x47536f17f4ff30e64a96a7555826b8f9e66ec468'}}"
marinade,"{'solana': {'decimal_place': 9, 'contract_address': 'MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey'}}"
mango-markets,"{'solana': {'decimal_place': 6, 'contract_address': 'MangoCzJ36AjZyKwVj3VnYU4GTonjfVEnJmvvWaxLac'}}"
mobius-money,"{'celo': {'decimal_place': 18, 'contract_address': '0x73a210637f6f6b7005512677ba6b3c96bb4aa44b'}}"
moola-market,"{'celo': {'decimal_place': 18, 'contract_address': '0x17700282592d6917f6a73d0bf8accf4d578c131e'}}"
moonswap,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x68a3637ba6e75c0f66b61a42639c4e9fcd3d4824'}}"
more-token,"{'avalanche': {'decimal_place': 18, 'contract_address': '0xd9d90f882cddd6063959a9d837b05cb748718a05'}}"
morpho,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x9994e35db50125e0df82e4c2dde62496ce330999'}}"
88mph,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x8888801af4d980682e47f1a9036e589479e835c5'}}"
maple,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x33349b282065b0284d756f0577fb39c158f935e6'}}"
mpx,"{'fantom': {'decimal_place': 18, 'contract_address': '0x66eed5ff1701e6ed8470dc391f05e27b1d0657eb'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x94c6b279b5df54b335ae51866d6e2a56bf5ef9b7'}}"
meta,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x929b939f8524c3be977af57a4a0ad3fb1e374b50'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xf501dd45a1198c2e1b5aef5314a68b9006d842e0'}}"
multichain,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x65ef703f5594d2573eb71aaf55bc0cb548492df4'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x9fb9a33956351cf4fa040f65a13b835a3c8764e3'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x9fb9a33956351cf4fa040f65a13b835a3c8764e3'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x9fb9a33956351cf4fa040f65a13b835a3c8764e3'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x9fb9a33956351cf4fa040f65a13b835a3c8764e3'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x9fb9a33956351cf4fa040f65a13b835a3c8764e3'}, 'moonriver': {'decimal_place': 18, 'contract_address': '0x9fb9a33956351cf4fa040f65a13b835a3c8764e3'}}"
must,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x9c78ee466d6cb57a4d01fd887d2b5dfb2d46288f'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x9c78ee466d6cb57a4d01fd887d2b5dfb2d46288f'}}"
mute,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xa49d7499271ae71cd8ab9ac515e6694c755d400c'}, 'zksync': {'decimal_place': None, 'contract_address': '0x0e97c7a0f8b2c9885c8ac9fc6136e829cbc21d42'}}"
muuu,"{'astar': {'decimal_place': 18, 'contract_address': '0xc5bcac31cf55806646017395ad119af2441aee37'}}"
metavault-trade,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x2760e46d9bb43dafcbecaad1f64b93207f9f0ed7'}, 'zksync': {'decimal_place': None, 'contract_address': '0xc8ac6191cdc9c7bf846ad6b52aaaa7a0757ee305'}}"
mycelium,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x4b13006980acb09645131b91d259eaa111eaf5ba'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xc74fe4c715510ec2f8c61d70d397b32043f55abe'}}"
indexed-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x86772b1409b61c639eaac9ba0acfbb6e238e5f83'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xb965029343d55189c25a7f3e0c9394dc0f5d41b1'}}"
nest,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xcd6926193308d3b371fdd6a6219067e550000000'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xcd6926193308d3b371fdd6a6219067e550000000'}}"
netswap,"{'metis-andromeda': {'decimal_place': 18, 'contract_address': '0x90fe084f877c65e1b577c7b2ea64b8d8dd1ab278'}}"
neutra-finance,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x6609be1547166d1c4605f3a243fdcff467e600c3'}}"
connext,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xfe67a4450907459c3e1fff623aa927dd4e28c67a'}, 'xdai': {'decimal_place': 18, 'contract_address': '0x58b9cb810a68a7f3e1e4f8cb45d1b9b3c79705e8'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x58b9cb810a68a7f3e1e4f8cb45d1b9b3c79705e8'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x58b9cb810a68a7f3e1e4f8cb45d1b9b3c79705e8'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x58b9cb810a68a7f3e1e4f8cb45d1b9b3c79705e8'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x58b9cb810a68a7f3e1e4f8cb45d1b9b3c79705e8'}}"
nftb,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xde3dbbe30cfa9f437b293294d1fd64b26045c71a'}}"
nftx,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x87d73e916d7057945c9bcd8cdd94e42a6f47f776'}}"
niifi,"{'ethereum': {'decimal_place': 15, 'contract_address': '0x852e5427c86a3b46dd25e5fe027bb15f53c4bcb8'}}"
niob,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x5ac5e6af46ef285b3536833e65d245c49b608d9b'}}"
numeraire,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x1776e1f26f98b1a5df9cd347953a26dd3cb46671'}, 'energi': {'decimal_place': 18, 'contract_address': '0xd72922e849477a042a7e6dc84309f4bc1c1227a2'}}"
nominex,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xd32d01a43c869edcd1117c640fbdcfcfd97d9d65'}}"
nord-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x6e9730ecffbed43fd876a264c982e254ef05a0de'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x6e9730ecffbed43fd876a264c982e254ef05a0de'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xeaf26191ac1d35ae30baa19a5ad5558dd8156aef'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xf6f85b3f9fd581c2ee717c404f7684486f057f95'}}"
notional-finance,"{'ethereum': {'decimal_place': 8, 'contract_address': '0xcfeaead4947f0705a14ec42ac3d44129e1ef3ed5'}}"
neopin,"{'klay-token': {'decimal_place': 18, 'contract_address': '0xe06597d02a2c3aa7a9708de2cfa587b128bd3815'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x306ee01a6ba3b4a8e993fa2c1adc7ea24462000c'}}"
energi,"{'': {'decimal_place': None, 'contract_address': ''}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x1416946162b1c2c871a73b07e932d2fb6c932069'}}"
nerve-finance,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x42f6f551ae042cbe50c739158b4f0cac0edb9096'}}"
neutrino-system-base-token,"{'waves': {'decimal_place': 6, 'contract_address': '6nSpVyNH7yM69eg446wrQR94ipbbcmZMU1ENPwanC97g'}, 'ethereum': {'decimal_place': 6, 'contract_address': '0x9d79d5b61de59d882ce90125b18f74af650acb93'}}"
nsure-network,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x20945ca1df56d237fd40036d47e866c7dccd2114'}}"
nuls,"{'': {'decimal_place': None, 'contract_address': ''}}"
nuon,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xfb9fed8cb962548a11fe7f6f282949061395c7f5'}}"
nucleon-space,"{'conflux': {'decimal_place': 18, 'contract_address': '0xfe197e7968807b311d476915db585831b43a7e3b'}}"
nervenetwork,"{'': {'decimal_place': None, 'contract_address': ''}}"
nxm,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b'}}"
o3-swap,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xee9801669c6138e84bd50deb500827b776777d28'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xee9801669c6138e84bd50deb500827b776777d28'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0xee9801669c6138e84bd50deb500827b776777d28'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xee9801669c6138e84bd50deb500827b776777d28'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xee9801669c6138e84bd50deb500827b776777d28'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0xee9801669c6138e84bd50deb500827b776777d28'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xee9801669c6138e84bd50deb500827b776777d28'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xee9801669c6138e84bd50deb500827b776777d28'}, 'okex-chain': {'decimal_place': 18, 'contract_address': '0xee9801669c6138e84bd50deb500827b776777d28'}}"
oath,"{'fantom': {'decimal_place': 18, 'contract_address': '0x21ada0d2ac28c3a5fa3cd2ee30882da8812279b6'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xc2c52ff5134596f5ff1b1204d3304228f2432836'}, 'ethereum': {'decimal_place': 18, 'contract_address': '0x6f9c26fa731c7ea4139fa669962cf8f1ce6c8b0b'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xd3c6ceedd1cc7bd4304f72b011d53441d631e662'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xa1150db5105987cec5fd092273d1e3cbb22b378b'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x39fde572a18448f8139b7788099f0a0740f51205'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x2c69095d81305f1e3c6ed372336d407231624cea'}}"
occamx,"{'milkomeda-cardano': {'decimal_place': 18, 'contract_address': '0xf0c73e6287867baa4f865a17ee711ec989c78ac0'}}"
openleverage,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x92cfbec26c206c90aee3b7c66a9ae673754fab7e'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xa865197a84e780957422237b5d152772654341f3'}}"
oolongswap,"{'boba': {'decimal_place': 18, 'contract_address': '0x5008f837883ea9a07271a1b5eb0658404f5a9610'}}"
mantra-dao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3593d125a4f7849a1b059e64f4517a86dd60c95d'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xf78d2e7936f5fe18308a3b2951a93b6c4a41f5e2'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xc3ec80343d2bae2f8e680fdadde7c17e71e114ea'}}"
augury-finance,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x76e63a3e7ba1e2e61d3da86a87479f983de89a7e'}}"
aegis-token-f7934368-2fb3-4091-9edc-39283e87f55d,"{'zksync': {'decimal_place': None, 'contract_address': '0x286f34bf2384b38067709e2abb255aa16d79f0e5'}}"
ondo-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3'}}"
onedex,"{'elrond': {'decimal_place': 18, 'contract_address': 'ONE-f9954f'}}"
onx-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xe0ad1806fd3e7edf6ff52fdb822432e847411033'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x3d8f74620857dd8ed6d0da02ceb13fd0ed8ba678'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x27749e79ad796c4251e0a0564aef45235493a0b6'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xeb94a5e2c643403e29fa1d7197e7e0708b09ad84'}}"
openocean,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x8ea5219a16c2dbf1d6335a6aa0c6bd45c50347c5'}}"
ooki,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0de05f6447ab4d22c8827449ee4ba2d5c288379b'}}"
opium,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x888888888889c00c67689029d7856aac1065ec11'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x566cedd201f67e542a6851a2959c1a449a041945'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xe8f157e041df3b28151b667364e9c90789da7923'}}"
opx-finance,"{'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xcdb4bb51801a1f399d4402c61bc098a72c382e65'}}"
oracleswap,"{'songbird': {'decimal_place': 18, 'contract_address': '0xd7565b16b65376e2ddb6c71e7971c7185a7ff3ff'}}"
oraidex,"{'': {'decimal_place': None, 'contract_address': ''}}"
orbit-chain,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x662b67d00a13faf93254714dd601f5ed49ef2f51'}}"
orca,"{'solana': {'decimal_place': 6, 'contract_address': 'orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE'}}"
oreoswap,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x319e222de462ac959baf2aec848697aec2bbd770'}}"
orion-protocol,"{'ethereum': {'decimal_place': 8, 'contract_address': '0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a'}, 'energi': {'decimal_place': 8, 'contract_address': '0x5e2d55bc07b63b18af6c9ed8da06cd33258ebb35'}}"
osmosis,"{'': {'decimal_place': None, 'contract_address': ''}, 'evmos': {'decimal_place': 6, 'contract_address': '0xfa3c22c069b9556a4b2f7ece1ee3b467909f4864'}}"
onchain-trade-protocol,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xb4b07b60455a2f38cba98a8f3dd161f7ca396a9c'}}"
0xdao,"{'fantom': {'decimal_place': 18, 'contract_address': '0xc165d941481e68696f43ee6e99bfb2b23e0e3114'}}"
pacoca,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x55671114d774ee99d653d6c12460c780a67f1d18'}}"
nearpad,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xea7cc765ebc94c4805e3bff28d7e4ae48d06468a'}, 'aurora': {'decimal_place': 18, 'contract_address': '0x885f8cf6e45bdd3fdcdc644efdcd0ac93880c781'}}"
paladin,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xab846fb6c81370327e784ae7cbb6d6a6af6ff4bf'}}"
parallel-finance,"{'': {'decimal_place': None, 'contract_address': ''}}"
pinkpea-finance,"{'aurora': {'decimal_place': 18, 'contract_address': '0x184f2c422dc49d0df6977e6079c73f731b7bf94e'}}"
marketpeak,"{'ethereum': {'decimal_place': 8, 'contract_address': '0x630d98424efe0ea27fb1b3ab7741907dffeaad78'}, 'binance-smart-chain': {'decimal_place': 8, 'contract_address': '0x630d98424efe0ea27fb1b3ab7741907dffeaad78'}}"
pearl,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x7238390d5f6f64e67c3211c343a410e2a3dec142'}}"
penguin-finance,"{'avalanche': {'decimal_place': 18, 'contract_address': '0xe896cdeaac9615145c0ca09c8cd5c25bced6384c'}}"
pembrock,"{'near-protocol': {'decimal_place': 18, 'contract_address': 'token.pembrock.near'}}"
penrose-finance,"{'polygon-pos': {'decimal_place': 18, 'contract_address': '0x9008d70a5282a936552593f410abcbce2f891a97'}}"
pendle,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x808507121b80c02388fad14726482e061b8da827'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xb3ed0a426155b79b898849803e3b36552f7ed507'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xbc7b1ff1c6989f006a1185318ed4e7b5796e66e1'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xfb98b335551a418cd0737375a2ea0ded62ea213b'}}"
peri-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x5d30ad9c6374bf925d0a75454fa327aacf778492'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xb49b7e0742ecb4240ffe91661d2a580677460b6a'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xdc0e17eae3b9651875030244b971fa0223a1764f'}}"
perlin,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xeca82185adce47f39c684352b0439f030f860318'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x0f9e4d49f25de22c2202af916b681fbb3790497b'}}"
